Day;Visits
domingo, 25 de mayo de 2008;182
lunes, 26 de mayo de 2008;195
martes, 27 de mayo de 2008;304
miércoles, 28 de mayo de 2008;282
jueves, 29 de mayo de 2008;263
viernes, 30 de mayo de 2008;218
sábado, 31 de mayo de 2008;188
domingo, 1 de junio de 2008;195
lunes, 2 de junio de 2008;244
martes, 3 de junio de 2008;241
miércoles, 4 de junio de 2008;252
jueves, 5 de junio de 2008;241
viernes, 6 de junio de 2008;209
sábado, 7 de junio de 2008;198
domingo, 8 de junio de 2008;195
lunes, 9 de junio de 2008;247
martes, 10 de junio de 2008;231
miércoles, 11 de junio de 2008;224
jueves, 12 de junio de 2008;198
viernes, 13 de junio de 2008;180
sábado, 14 de junio de 2008;166
domingo, 15 de junio de 2008;179
lunes, 16 de junio de 2008;218
martes, 17 de junio de 2008;227
miércoles, 18 de junio de 2008;228
jueves, 19 de junio de 2008;228
viernes, 20 de junio de 2008;204
sábado, 21 de junio de 2008;168
domingo, 22 de junio de 2008;178
lunes, 23 de junio de 2008;167
martes, 24 de junio de 2008;192
miércoles, 25 de junio de 2008;199
jueves, 26 de junio de 2008;219
viernes, 27 de junio de 2008;206
sábado, 28 de junio de 2008;178
domingo, 29 de junio de 2008;184
lunes, 30 de junio de 2008;193
martes, 1 de julio de 2008;204
miércoles, 2 de julio de 2008;90
jueves, 3 de julio de 2008;94
viernes, 4 de julio de 2008;60
sábado, 5 de julio de 2008;67
domingo, 6 de julio de 2008;91
lunes, 7 de julio de 2008;140
martes, 8 de julio de 2008;129
miércoles, 9 de julio de 2008;142
jueves, 10 de julio de 2008;129
viernes, 11 de julio de 2008;110
sábado, 12 de julio de 2008;56
domingo, 13 de julio de 2008;68
lunes, 14 de julio de 2008;127
martes, 15 de julio de 2008;116
miércoles, 16 de julio de 2008;127
jueves, 17 de julio de 2008;114
viernes, 18 de julio de 2008;125
sábado, 19 de julio de 2008;67
domingo, 20 de julio de 2008;91
lunes, 21 de julio de 2008;139
martes, 22 de julio de 2008;232
miércoles, 23 de julio de 2008;165
jueves, 24 de julio de 2008;185
viernes, 25 de julio de 2008;148
sábado, 26 de julio de 2008;84
domingo, 27 de julio de 2008;74
lunes, 28 de julio de 2008;163
martes, 29 de julio de 2008;159
miércoles, 30 de julio de 2008;178
jueves, 31 de julio de 2008;126
viernes, 1 de agosto de 2008;111
sábado, 2 de agosto de 2008;95
domingo, 3 de agosto de 2008;85
lunes, 4 de agosto de 2008;150
martes, 5 de agosto de 2008;149
miércoles, 6 de agosto de 2008;139
jueves, 7 de agosto de 2008;111
viernes, 8 de agosto de 2008;124
sábado, 9 de agosto de 2008;91
domingo, 10 de agosto de 2008;77
lunes, 11 de agosto de 2008;122
martes, 12 de agosto de 2008;115
miércoles, 13 de agosto de 2008;125
jueves, 14 de agosto de 2008;110
viernes, 15 de agosto de 2008;112
sábado, 16 de agosto de 2008;76
domingo, 17 de agosto de 2008;74
lunes, 18 de agosto de 2008;107
martes, 19 de agosto de 2008;134
miércoles, 20 de agosto de 2008;115
jueves, 21 de agosto de 2008;122
viernes, 22 de agosto de 2008;108
sábado, 23 de agosto de 2008;74
