Week (2008);Week (2009);Visits;Unique Visits;Pageviews;Pages/Visit;Avg. Time on Site (secs.);Bounce Rate;% New Visits;;;;;;;;;;;;;;;;
domingo, 25 de mayo de 2008;domingo, 31 de mayo de 2009;1.632;1.509;3.328;2,04;71;72,67%;88,54%;;;;;;;;;;;;;;;;
domingo, 1 de junio de 2008;domingo, 7 de junio de 2009;1.580;1.450;3.097;1,96;56;75,51%;87,34%;;;;;;;;;;;;;;;;
domingo, 8 de junio de 2008;domingo, 14 de junio de 2009;1.441;1.306;3.202;2,22;79;73,98%;84,32%;;;;;;;;;;;;;;;;
domingo, 15 de junio de 2008;domingo, 21 de junio de 2009;1.452;1.301;3.170;2,18;81;73,62%;84,37%;;;;;;;;;;;;;;;;
domingo, 22 de junio de 2008;domingo, 28 de junio de 2009;1.339;1.255;2.366;1,77;50;76,40%;89,25%;;;;;;;;;;;;;;;;
domingo, 29 de junio de 2008;domingo, 5 de julio de 2009;892;841;1.865;2,09;71;73,65%;87,56%;;;;;;;;;;;;;;;;
domingo, 6 de julio de 2008;domingo, 12 de julio de 2009;797;731;1.885;2,37;80;61,48%;85,70%;;;;;;;;;;;;;;;;
domingo, 13 de julio de 2008;domingo, 19 de julio de 2009;744;706;1.916;2,58;96;59,27%;88,84%;;;;;;;;;;;;;;;;
domingo, 20 de julio de 2008;domingo, 26 de julio de 2009;1.044;976;2.670;2,56;82;60,34%;86,69%;;;;;;;;;;;;;;;;
domingo, 27 de julio de 2008;domingo, 2 de agosto de 2009;906;850;2.189;2,42;78;63,36%;87,42%;;;;;;;;;;;;;;;;
domingo, 3 de agosto de 2008;domingo, 9 de agosto de 2009;849;791;1.947;2,29;91;64,43%;87,04%;;;;;;;;;;;;;;;;
domingo, 10 de agosto de 2008;domingo, 16 de agosto de 2009;737;685;1.746;2,37;98;62,82%;87,25%;;;;;;;;;;;;;;;;
domingo, 17 de agosto de 2008;domingo, 23 de agosto de 2009;734;668;1.946;2,65;100;62,40%;84,33%;;;;;;;;;;;;;;;;
domingo, 24 de agosto de 2008;domingo, 30 de agosto de 2009;626;594;1.540;2,46;91;61,98%;86,58%;;;;;;;;;;;;;;;;
domingo, 31 de agosto de 2008;domingo, 6 de septiembre de 2009;577;537;1.489;2,58;83;62,05%;86,66%;;;;;;;;;;;;;;;;
domingo, 7 de septiembre de 2008;domingo, 13 de septiembre de 2009;562;508;1.428;2,54;82;58,90%;81,32%;;;;;;;;;;;;;;;;
domingo, 14 de septiembre de 2008;domingo, 20 de septiembre de 2009;563;495;1.547;2,75;112;58,61%;78,51%;;;;;;;;;;;;;;;;
domingo, 21 de septiembre de 2008;domingo, 27 de septiembre de 2009;652;585;1.792;2,75;101;56,13%;80,98%;;;;;;;;;;;;;;;;
domingo, 28 de septiembre de 2008;domingo, 4 de octubre de 2009;611;549;1.928;3,16;109;53,52%;81,18%;;;;;;;;;;;;;;;;
domingo, 5 de octubre de 2008;domingo, 11 de octubre de 2009;561;500;1.784;3,18;113;53,65%;79,86%;;;;;;;;;;;;;;;;
domingo, 12 de octubre de 2008;domingo, 18 de octubre de 2009;558;525;1.455;2,61;97;61,29%;86,02%;;;;;;;;;;;;;;;;
domingo, 19 de octubre de 2008;domingo, 25 de octubre de 2009;570;520;1.562;2,74;95;57,37%;84,91%;;;;;;;;;;;;;;;;
domingo, 26 de octubre de 2008;domingo, 1 de noviembre de 2009;551;511;1.560;2,83;109;56,62%;83,85%;;;;;;;;;;;;;;;;
domingo, 2 de noviembre de 2008;domingo, 8 de noviembre de 2009;537;507;1.450;2,70;93;56,98%;87,15%;;;;;;;;;;;;;;;;
domingo, 9 de noviembre de 2008;domingo, 15 de noviembre de 2009;543;500;1.527;2,81;109;58,38%;83,61%;;;;;;;;;;;;;;;;
domingo, 16 de noviembre de 2008;domingo, 22 de noviembre de 2009;558;511;1.495;2,68;96;57,71%;81,18%;;;;;;;;;;;;;;;;
domingo, 23 de noviembre de 2008;domingo, 29 de noviembre de 2009;536;510;1.515;2,83;102;57,65%;87,31%;;;;;;;;;;;;;;;;
domingo, 30 de noviembre de 2008;domingo, 6 de diciembre de 2009;549;498;1.367;2,49;87;61,20%;81,79%;;;;;;;;;;;;;;;;
domingo, 7 de diciembre de 2008;domingo, 13 de diciembre de 2009;545;499;1.464;2,69;106;59,08%;82,39%;;;;;;;;;;;;;;;;
domingo, 14 de diciembre de 2008;domingo, 20 de diciembre de 2009;591;535;1.469;2,49;91;62,44%;82,74%;;;;;;;;;;;;;;;;
domingo, 21 de diciembre de 2008;domingo, 27 de diciembre de 2009;383;366;793;2,07;76;68,93%;90,08%;;;;;;;;;;;;;;;;
domingo, 28 de diciembre de 2008;domingo, 3 de enero de 2010;402;385;827;2,06;62;70,15%;89,30%;;;;;;;;;;;;;;;;
domingo, 4 de enero de 2009;domingo, 10 de enero de 2010;547;495;1.659;3,03;120;54,66%;81,90%;;;;;;;;;;;;;;;;
domingo, 11 de enero de 2009;domingo, 17 de enero de 2010;631;583;1.745;2,77;103;56,58%;85,42%;;;;;;;;;;;;;;;;
domingo, 18 de enero de 2009;domingo, 24 de enero de 2010;795;734;1.824;2,29;67;65,79%;85,28%;;;;;;;;;;;;;;;;
domingo, 25 de enero de 2009;domingo, 31 de enero de 2010;1.000;930;2.259;2,26;66;65,80%;86,50%;;;;;;;;;;;;;;;;
domingo, 1 de febrero de 2009;domingo, 7 de febrero de 2010;1.207;1.136;2.376;1,97;68;73,07%;88,15%;;;;;;;;;;;;;;;;
domingo, 8 de febrero de 2009;domingo, 14 de febrero de 2010;2.317;2.229;3.814;1,65;38;82,26%;93,09%;;;;;;;;;;;;;;;;
domingo, 15 de febrero de 2009;domingo, 21 de febrero de 2010;2.013;1.946;3.303;1,64;42;81,27%;93,14%;;;;;;;;;;;;;;;;
domingo, 22 de febrero de 2009;domingo, 28 de febrero de 2010;2.324;2.228;3.836;1,65;40;80,72%;92,13%;;;;;;;;;;;;;;;;
domingo, 1 de marzo de 2009;domingo, 7 de marzo de 2010;3.726;3.617;5.291;1,42;28;85,78%;94,79%;;;;;;;;;;;;;;;;
domingo, 8 de marzo de 2009;domingo, 14 de marzo de 2010;2.563;2.482;3.729;1,45;31;84,78%;93,76%;;;;;;;;;;;;;;;;
domingo, 15 de marzo de 2009;domingo, 21 de marzo de 2010;3.006;2.896;4.510;1,50;35;84,30%;93,11%;;;;;;;;;;;;;;;;
domingo, 22 de marzo de 2009;domingo, 28 de marzo de 2010;1.663;1.585;3.037;1,83;52;76,55%;90,92%;;;;;;;;;;;;;;;;
domingo, 29 de marzo de 2009;domingo, 4 de abril de 2010;1.779;1.689;2.881;1,62;37;78,86%;91,29%;;;;;;;;;;;;;;;;
domingo, 5 de abril de 2009;domingo, 11 de abril de 2010;1.086;1.030;2.313;2,13;63;69,34%;88,49%;;;;;;;;;;;;;;;;
domingo, 12 de abril de 2009;domingo, 18 de abril de 2010;1.231;1.166;2.714;2,20;69;70,59%;89,20%;;;;;;;;;;;;;;;;
domingo, 19 de abril de 2009;domingo, 25 de abril de 2010;1.248;1.178;2.414;1,93;59;73,16%;89,50%;;;;;;;;;;;;;;;;
domingo, 26 de abril de 2009;domingo, 2 de mayo de 2010;1.674;1.613;2.959;1,77;49;78,55%;92,77%;;;;;;;;;;;;;;;;
domingo, 3 de mayo de 2009;domingo, 9 de mayo de 2010;1.514;1.452;2.676;1,77;48;77,61%;90,55%;;;;;;;;;;;;;;;;
domingo, 10 de mayo de 2009;domingo, 16 de mayo de 2010;1.302;1.246;2.219;1,70;45;77,57%;90,63%;;;;;;;;;;;;;;;;
domingo, 17 de mayo de 2009;domingo, 23 de mayo de 2010;1.191;1.137;2.400;2,02;59;73,47%;89,76%;;;;;;;;;;;;;;;;
domingo, 24 de mayo de 2009;domingo, 30 de mayo de 2010;957;912;1.904;1,99;54;70,85%;89,45%;;;;;;;;;;;;;;;;
domingo, 31 de mayo de 2009;domingo, 6 de junio de 2010;963;909;2.156;2,24;76;68,33%;86,92%;;;;;;;;;;;;;;;;
domingo, 7 de junio de 2009;domingo, 13 de junio de 2010;882;848;1.827;2,07;50;69,95%;88,89%;;;;;;;;;;;;;;;;
domingo, 14 de junio de 2009;domingo, 20 de junio de 2010;942;896;2.068;2,20;73;68,58%;88,43%;;;;;;;;;;;;;;;;
domingo, 21 de junio de 2009;domingo, 27 de junio de 2010;835;789;1.739;2,08;77;66,35%;87,66%;;;;;;;;;;;;;;;;
domingo, 28 de junio de 2009;domingo, 4 de julio de 2010;802;762;1.764;2,20;73;65,71%;89,65%;;;;;;;;;;;;;;;;
domingo, 5 de julio de 2009;domingo, 11 de julio de 2010;806;750;1.741;2,16;81;65,26%;84,62%;;;;;;;;;;;;;;;;
domingo, 12 de julio de 2009;domingo, 18 de julio de 2010;900;828;2.074;2,30;65;64,56%;85,56%;;;;;;;;;;;;;;;;
domingo, 19 de julio de 2009;domingo, 25 de julio de 2010;860;811;1.922;2,23;75;64,65%;86,86%;;;;;;;;;;;;;;;;
domingo, 26 de julio de 2009;domingo, 1 de agosto de 2010;924;828;2.131;2,31;78;64,18%;81,93%;;;;;;;;;;;;;;;;
domingo, 2 de agosto de 2009;domingo, 8 de agosto de 2010;792;737;1.615;2,04;67;68,18%;85,48%;;;;;;;;;;;;;;;;
domingo, 9 de agosto de 2009;domingo, 15 de agosto de 2010;781;718;1.598;2,05;69;66,33%;83,99%;;;;;;;;;;;;;;;;
domingo, 16 de agosto de 2009;domingo, 22 de agosto de 2010;776;714;1.849;2,38;70;63,79%;84,15%;;;;;;;;;;;;;;;;
domingo, 23 de agosto de 2009;domingo, 29 de agosto de 2010;772;709;1.767;2,29;72;61,92%;85,23%;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
